"SourceFile","ID","CreateDate","Duration","Latitude","Longitude","LatitudeDD","LongitudeDD","sDuration","Year","Month","Day","Hour"
"meta-0261f0TEn46K.json",NA,"2021:01:06 21:17:21","0:00:46","38 deg 53' 24.72"" N","77 deg 0' 35.28"" W",38.8902,-77.0098,46,2021,1,6,21
"meta-059AWtA9q7PG.json",NA,"2021:01:06 21:02:31","0:00:43","38 deg 53' 24.00"" N","77 deg 0' 37.08"" W",38.89,-77.0103,43,2021,1,6,21
"meta-05qpu3PHmTcj.json",NA,"2021:01:06 16:49:33","21.43 s","38 deg 52' 53.04"" N","77 deg 4' 6.24"" W",38.8814,-77.0684,21.43,2021,1,6,16
"meta-05wJWPlwYEm2.json",NA,"2021:01:06 20:50:52","0:02:01","38 deg 53' 24.36"" N","77 deg 0' 37.80"" W",38.8901,-77.0105,121,2021,1,6,20
"meta-09yZs12lvcCA.json",NA,"2021:01:06 19:39:20","0:02:20","38 deg 53' 26.16"" N","77 deg 0' 44.64"" W",38.8906,-77.0124,140,2021,1,6,19
"meta-0d6xvM4dAiW4.json",NA,"2021:01:06 19:16:27","10.68 s","38 deg 53' 24.72"" N","77 deg 0' 35.28"" W",38.8902,-77.0098,10.68,2021,1,6,19
"meta-0DCuGD9WARVH.json",NA,"2021:01:06 19:40:56","20.64 s","38 deg 53' 25.44"" N","77 deg 0' 40.32"" W",38.8904,-77.0112,20.64,2021,1,6,19
"meta-0gEXueOMmwi8.json",NA,"2021:01:06 21:49:22","13.21 s","38 deg 53' 24.00"" N","77 deg 0' 37.44"" W",38.89,-77.0104,13.21,2021,1,6,21
"meta-0ILtbKNKST48.json",NA,"2021:01:06 20:13:25","19.35 s","38 deg 53' 23.28"" N","77 deg 0' 36.36"" W",38.8898,-77.0101,19.35,2021,1,6,20
"meta-0jaHRfXYTxdk.json",NA,"2021:01:06 18:35:42","0:00:41","38 deg 53' 23.64"" N","77 deg 0' 38.16"" W",38.8899,-77.0106,41,2021,1,6,18
"meta-0LmCg5GItOn5.json",NA,"2021:01:06 15:02:13","14.26 s","38 deg 53' 31.92"" N","77 deg 2' 14.64"" W",38.8922,-77.0374,14.26,2021,1,6,15
"meta-0lmypbT9naSL.json",NA,"2021:01:06 20:49:20","26.69 s","38 deg 53' 23.64"" N","77 deg 0' 36.00"" W",38.8899,-77.01,26.69,2021,1,6,20
"meta-0m53Jfe0nCjK.json",NA,"2021:01:06 18:21:48","0:00:32","38 deg 53' 24.00"" N","77 deg 0' 41.76"" W",38.89,-77.0116,32,2021,1,6,18
"meta-0naBwO7WKLdv.json",NA,"2021:01:06 15:24:03","13.46 s","38 deg 53' 31.56"" N","77 deg 2' 7.80"" W",38.8921,-77.0355,13.46,2021,1,6,15
"meta-0P57ekyl4BgA.json",NA,"2021:01:06 21:01:23","28.52 s","38 deg 53' 9.24"" N","77 deg 0' 27.36"" W",38.8859,-77.0076,28.52,2021,1,6,21
"meta-0PewiHC6MJ7W.json",NA,"2021:01:06 18:14:56","0:02:13","38 deg 53' 37.32"" N","77 deg 2' 9.24"" W",38.8937,-77.0359,133,2021,1,6,18
"meta-0pHHD2IPnGI5.json",NA,"2021:01:06 16:18:12","0:00:36","38 deg 53' 31.92"" N","77 deg 2' 11.40"" W",38.8922,-77.0365,36,2021,1,6,16
"meta-0pHzY3h13IO9.json",NA,"2021:01:06 18:57:37","0:01:20","38 deg 53' 27.60"" N","77 deg 0' 45.36"" W",38.891,-77.0126,80,2021,1,6,18
"meta-0Pk8BEfptuZG.json",NA,"2021:01:06 17:29:06","0:00:48","38 deg 53' 28.32"" N","77 deg 2' 2.76"" W",38.8912,-77.0341,48,2021,1,6,17
"meta-0RkqluQmLWCt.json",NA,"2021:01:06 19:04:48","17.61 s","38 deg 53' 26.52"" N","77 deg 0' 29.88"" W",38.8907,-77.0083,17.61,2021,1,6,19
"meta-0RXNjbNjJq1A.json",NA,"2021:01:06 14:47:40","5.43 s","38 deg 53' 32.28"" N","77 deg 2' 1.32"" W",38.8923,-77.0337,5.43,2021,1,6,14
"meta-0VjRwooevgzN.json",NA,"2021:01:06 20:53:38","0:01:19","38 deg 53' 24.36"" N","77 deg 0' 37.80"" W",38.8901,-77.0105,79,2021,1,6,20
"meta-11yUZY1GBsbG.json",NA,"2021:01:06 16:59:07","0:00:48","38 deg 53' 28.32"" N","77 deg 2' 11.04"" W",38.8912,-77.0364,48,2021,1,6,16
"meta-14bBcpxpQBmB.json",NA,"2021:01:06 21:21:23","0:00:36","38 deg 53' 23.64"" N","77 deg 0' 38.16"" W",38.8899,-77.0106,36,2021,1,6,21
"meta-17mewAmmdqm8.json",NA,"2021:01:06 18:45:57","14.42 s","38 deg 53' 51.72"" N","77 deg 2' 0.24"" W",38.8977,-77.0334,14.42,2021,1,6,18
"meta-1B7KFzHPr5ST.json",NA,"2021:01:06 19:35:36","0:00:45","38 deg 53' 24.72"" N","77 deg 0' 27.36"" W",38.8902,-77.0076,45,2021,1,6,19
"meta-1hITmFMmXf5t.json",NA,"2021:01:06 15:28:05","17.13 s","38 deg 53' 30.84"" N","77 deg 1' 59.88"" W",38.8919,-77.0333,17.13,2021,1,6,15
"meta-1Imn9XMEtSnj.json",NA,"2021:01:06 23:15:26","0:01:48","38 deg 53' 23.28"" N","77 deg 0' 37.08"" W",38.8898,-77.0103,108,2021,1,6,23
"meta-1LsLQccp9kli.json",NA,"2021:01:06 18:36:03","11.28 s","38 deg 53' 31.92"" N","77 deg 1' 48.36"" W",38.8922,-77.0301,11.28,2021,1,6,18
"meta-1PkvSH3DHPQm.json",NA,"2021:01:06 17:23:04","18.76 s","38 deg 53' 30.84"" N","77 deg 2' 2.04"" W",38.8919,-77.0339,18.76,2021,1,6,17
"meta-1Ta9ZdFfiNrZ.json",NA,"2021:01:06 22:04:21","0:02:36","38 deg 53' 23.64"" N","77 deg 0' 38.16"" W",38.8899,-77.0106,156,2021,1,6,22
"meta-1TszpHzh2B7A.json",NA,"2021:01:06 18:25:38","27.26 s","38 deg 53' 24.36"" N","77 deg 0' 37.08"" W",38.8901,-77.0103,27.26,2021,1,6,18
"meta-1Zvr7Xtfv0Yt.json",NA,"2021:01:06 22:05:04","6.41 s","38 deg 53' 23.28"" N","77 deg 0' 37.08"" W",38.8898,-77.0103,6.41,2021,1,6,22
"meta-24fJYQldjZd2.json",NA,"2021:01:06 19:31:20","11.83 s","38 deg 53' 21.84"" N","77 deg 0' 42.48"" W",38.8894,-77.0118,11.83,2021,1,6,19
"meta-29cZegQUocJb.json",NA,"2021:01:06 20:53:03","14.65 s","38 deg 53' 24.36"" N","77 deg 0' 29.52"" W",38.8901,-77.0082,14.65,2021,1,6,20
"meta-2bA317by5x7J.json",NA,"2021:01:06 00:41:50","0:01:16","38 deg 53' 45.60"" N","77 deg 1' 51.60"" W",38.896,-77.031,76,2021,1,6,0
"meta-2bujYLrW7vAX.json",NA,"2021:01:06 18:54:20","14.29 s","38 deg 53' 25.80"" N","77 deg 0' 37.80"" W",38.8905,-77.0105,14.29,2021,1,6,18
"meta-2DzUC8Jvgx4g.json",NA,"2021:01:06 20:22:17","8.94 s","38 deg 53' 24.72"" N","77 deg 0' 34.20"" W",38.8902,-77.0095,8.94,2021,1,6,20
"meta-2fqpw5l9SeIl.json",NA,"2021:01:06 12:51:45","24.99 s","38 deg 53' 31.56"" N","77 deg 2' 12.48"" W",38.8921,-77.0368,24.99,2021,1,6,12
"meta-2hmWsS7hbKrk.json",NA,"2021:01:06 20:42:56","0:00:45","38 deg 53' 31.20"" N","77 deg 0' 58.32"" W",38.892,-77.0162,45,2021,1,6,20
"meta-2lza0tzb6ICe.json",NA,"2021:01:06 14:23:15","9.75 s","38 deg 53' 26.16"" N","77 deg 2' 9.96"" W",38.8906,-77.0361,9.75,2021,1,6,14
"meta-2MGQVZjSLNJv.json",NA,"2021:01:06 21:30:10","13.31 s","38 deg 53' 28.68"" N","77 deg 0' 35.28"" W",38.8913,-77.0098,13.31,2021,1,6,21
"meta-2PBoIh9W74cM.json",NA,"2021:01:06 19:59:41","11.40 s","38 deg 53' 24.00"" N","77 deg 0' 34.92"" W",38.89,-77.0097,11.4,2021,1,6,19
"meta-2PNO2eGV8Hwp.json",NA,"2021:01:06 12:55:26","0:00:55","38 deg 53' 47.76"" N","77 deg 2' 0.60"" W",38.8966,-77.0335,55,2021,1,6,12
